edinet_code,sec_code,filer_name,doc_description,doc_id,period_start,period_end,amount,number
E00035,70210,株式会社ニッチツ,有価証券報告書－第94期(平成30年4月1日－平成31年3月31日),S100G20C,2018-04-01,2019-03-31,97434000,5
E00036,15150,日鉄鉱業株式会社,有価証券報告書－第105期(平成30年4月1日－平成31年3月31日),S100G9F9,2018-04-01,2019-03-31,290000000,7
E00041,16620,石油資源開発株式会社,有価証券報告書－第49期(平成30年4月1日－平成31年3月31日),S100G9BS,2018-04-01,2019-03-31,407000000,13
E00043,16050,国際石油開発帝石株式会社,有価証券報告書－第13期(平成30年4月1日－平成31年3月31日),S100G7WA,2018-04-01,2019-03-31,403000000,10
E00049,18810,株式会社ＮＩＰＰＯ,有価証券報告書－第118期(平成30年4月1日－平成31年3月31日),S100G4B5,2018-04-01,2019-03-31,338000000,10
E00051,18240,前田建設工業株式会社,有価証券報告書－第74期(平成30年4月1日－平成31年3月31日),S100G4IW,2018-04-01,2019-03-31,502000000,11
E00052,18010,大成建設株式会社,有価証券報告書－第159期(平成30年4月1日－平成31年3月31日),S100G3FX,2018-04-01,2019-03-31,708000000,8
E00053,18030,清水建設株式会社,有価証券報告書－第117期(平成30年4月1日－平成31年3月31日),S100G7RN,2018-04-01,2019-03-31,774000000,10
E00055,18020,株式会社大林組,有価証券報告書－第115期(平成30年4月1日－平成31年3月31日),S100G8TS,2018-04-01,2019-03-31,405000000,12
E00056,18610,株式会社　熊谷組,有価証券報告書－第82期(平成30年4月1日－平成31年3月31日),S100GA30,2018-04-01,2019-03-31,166000000,6
E00058,18120,鹿島建設株式会社,有価証券報告書－第122期(平成30年4月1日－平成31年3月31日),S100G4O0,2018-04-01,2019-03-31,720000000,11
E00061,18830,前田道路株式会社,有価証券報告書－第94期(平成30年4月1日－平成31年3月31日),S100G9OM,2018-04-01,2019-03-31,325000000,9
E00063,18050,飛島建設株式会社,有価証券報告書－第76期(平成30年4月1日－平成31年3月31日),S100GC73,2018-04-01,2019-03-31,136000000,6
E00064,18100,松井建設株式会社,有価証券報告書－第90期(平成30年4月1日－平成31年3月31日),S100G2WM,2018-04-01,2019-03-31,178000000,8
E00065,18150,鉄建建設株式会社,有価証券報告書－第78期(平成30年4月1日－平成31年3月31日),S100G85L,2018-04-01,2019-03-31,250000000,10
E00066,18820,東亜道路工業株式会社,有価証券報告書－第113期(平成30年4月1日－平成31年3月31日),S100G1GW,2018-04-01,2019-03-31,110000000,6
E00067,18840,日本道路株式会社,有価証券報告書－第114期(平成30年4月1日－平成31年3月31日),S100G9ZI,2018-04-01,2019-03-31,155000000,4
E00073,19410,株式会社中電工,有価証券報告書－第103期(平成30年4月1日－平成31年3月31日),S100G9ED,2018-04-01,2019-03-31,370000000,10
E00074,19420,株式会社関電工,有価証券報告書－第105期(平成30年4月1日－平成31年3月31日),S100G0FP,2018-04-01,2019-03-31,521000000,13
E00075,19440,株式会社きんでん,有価証券報告書－第105期(平成30年4月1日－平成31年3月31日),S100G08F,2018-04-01,2019-03-31,534000000,15
E00076,19460,株式会社トーエネック,有価証券報告書－第101期(平成30年4月1日－平成31年3月31日),S100GBGZ,2018-04-01,2019-03-31,231000000,12
E00079,18920,徳倉建設株式会社,有価証券報告書－第74期(平成30年4月1日－平成31年3月31日),S100GAF6,2018-04-01,2019-03-31,75000000,7
E00080,18850,東亜建設工業株式会社,有価証券報告書－第129期(平成30年4月1日－平成31年3月31日),S100GB74,2018-04-01,2019-03-31,137000000,6
E00081,18880,若築建設株式会社,有価証券報告書－第203期(平成30年4月1日－平成31年3月31日),S100G9MC,2018-04-01,2019-03-31,153000000,8
E00082,18900,東洋建設株式会社,有価証券報告書－第99期(平成30年4月1日－平成31年3月31日),S100GBUI,2018-04-01,2019-03-31,219000000,9
E00085,18210,三井住友建設株式会社,有価証券報告書－第16期(平成30年4月1日－平成31年3月31日),S100G6XG,2018-04-01,2019-03-31,254000000,9
E00086,18930,五洋建設株式会社,有価証券報告書－第69期(平成30年4月1日－平成31年3月31日),S100G5K9,2018-04-01,2019-03-31,310000000,10
E00090,18080,株式会社　長谷工コーポレーション,有価証券報告書－第102期(平成30年4月1日－平成31年3月31日),S100G3BX,2018-04-01,2019-03-31,579000000,9
E00092,19450,株式会社東京エネシス,有価証券報告書－第72期(平成30年4月1日－平成31年3月31日),S100G8ZC,2018-04-01,2019-03-31,178000000,8
E00094,19510,株式会社協和エクシオ,有価証券報告書,S100G3HU,2018-04-01,2019-03-31,300000000,8
E00095,18220,大豊建設株式会社,有価証券報告書－第70期(平成30年4月1日－平成31年3月31日),S100G9BF,2018-04-01,2019-03-31,106000000,5
E00098,19260,ライト工業株式会社,有価証券報告書－第72期(平成30年4月1日－平成31年3月31日),S100GALV,2018-04-01,2019-03-31,235000000,9
E00101,18410,サンユー建設株式会社,有価証券報告書－第70期(平成30年4月1日－平成31年3月31日),S100G9V7,2018-04-01,2019-03-31,722008000,7
E00105,18270,株式会社ナカノフドー建設,有価証券報告書－第77期(平成30年4月1日－平成31年3月31日),S100G5G8,2018-04-01,2019-03-31,204000000,7
E00107,19610,三機工業株式会社,有価証券報告書－第95期(平成30年4月1日－平成31年3月31日),S100G952,2018-04-01,2019-03-31,571000000,9
E00109,19720,三晃金属工業株式会社,有価証券報告書－第70期(平成30年4月1日－平成31年3月31日),S100G6VL,2018-04-01,2019-03-31,218000000,12
E00109,19720,三晃金属工業株式会社,有価証券報告書－第70期(平成30年4月1日－平成31年3月31日),S100G6VL,2018-04-01,2019-03-31,218000000,12
E00112,18350,東鉄工業株式会社,有価証券報告書－第76期(平成30年4月1日－平成31年3月31日),S100GABU,2018-04-01,2019-03-31,180000000,7
E00113,19680,太平電業株式会社,有価証券報告書－第79期(平成30年4月1日－平成31年3月31日),S100G9GB,2018-04-01,2019-03-31,319000000,7
E00114,19490,住友電設株式会社,有価証券報告書－第94期(平成30年4月1日－平成31年3月31日),S100G1FS,2018-04-01,2019-03-31,340000000,8
E00117,18470,株式会社イチケン,有価証券報告書－第93期(平成30年4月1日－平成31年3月31日),S100G6SM,2018-04-01,2019-03-31,144000000,4
E00117,18470,株式会社イチケン,有価証券報告書－第93期(平成30年4月1日－平成31年3月31日),S100G6SM,2018-04-01,2019-03-31,144000000,4
E00118,18500,南海辰村建設株式会社,有価証券報告書－第76期(平成30年4月1日－平成31年3月31日),S100G143,2018-04-01,2019-03-31,104000000,8
E00119,19640,中外炉工業株式会社,有価証券報告書－第77期(平成30年4月1日－平成31年3月31日),S100G7LS,2018-04-01,2019-03-31,192000000,8
E00120,18520,株式会社淺沼組,有価証券報告書－第84期(平成30年4月1日－平成31年3月31日),S100GALH,2018-04-01,2019-03-31,142000000,8
E00121,18260,佐田建設株式会社,有価証券報告書－第70期(平成30年4月1日－平成31年3月31日),S100G3XS,2018-04-01,2019-03-31,27000000,9
E00130,18530,株式会社　森組,有価証券報告書－第86期(平成30年4月1日－平成31年3月31日),S100G3VX,2018-04-01,2019-03-31,94000000,8
E00130,18530,株式会社　森組,有価証券報告書－第86期(平成30年4月1日－平成31年3月31日),S100G3VX,2018-04-01,2019-03-31,94000000,8
E00137,19340,株式会社ユアテック,有価証券報告書－第105期(平成30年4月1日－平成31年3月31日),S100G5LM,2018-04-01,2019-03-31,181000000,10
E00142,19290,日特建設株式会社,有価証券報告書－第72期(平成30年4月1日－平成31年3月31日),S100G4BV,2018-04-01,2019-03-31,191000000,8
E00146,19590,株式会社九電工,有価証券報告書－第91期(平成30年4月1日－平成31年3月31日),S100GACA,2018-04-01,2019-03-31,283000000,10
E00147,18600,戸田建設株式会社,有価証券報告書－第96期(平成30年4月1日－平成31年3月31日),S100G1LK,2018-04-01,2019-03-31,313000000,9
E00148,18700,矢作建設工業株式会社,有価証券報告書－第78期(平成30年4月1日－平成31年3月31日),S100G9W3,2018-04-01,2019-03-31,329000000,8
E00149,19690,高砂熱学工業株式会社,有価証券報告書－第139期(平成30年4月1日－平成31年3月31日),S100G7UI,2018-04-01,2019-03-31,343000000,6
E00153,19750,株式会社朝日工業社,有価証券報告書－第90期(平成30年4月1日－平成31年3月31日),S100GA78,2018-04-01,2019-03-31,311000000,10
E00157,81570,都築電気株式会社,有価証券報告書－第79期(平成30年4月1日－平成31年3月31日),S100G75N,2018-04-01,2019-03-31,337000000,9
E00165,88360,株式会社ＲＩＳＥ,有価証券報告書－第73期(平成30年4月1日－平成31年3月31日),S100G2IX,2018-04-01,2019-03-31,30000000,3
E00167,18070,株式会社佐藤渡辺,有価証券報告書－第88期(平成30年4月1日－平成31年3月31日),S100G9ZV,2018-04-01,2019-03-31,97000000,5
E00168,19820,日比谷総合設備株式会社,有価証券報告書－第54期(平成30年4月1日－平成31年3月31日),S100GBT0,2018-04-01,2019-03-31,181000000,6
E00173,19600,株式会社サンテック,有価証券報告書－第72期(平成30年4月1日－平成31年3月31日),S100G4V1,2018-04-01,2019-03-31,85943000,5
E00174,18650,青木あすなろ建設株式会社,有価証券報告書－第79期(平成30年4月1日－平成31年3月31日),S100G1BY,2018-04-01,2019-03-31,230000000,14
E00175,18660,北野建設株式会社,有価証券報告書－第74期(平成30年4月1日－平成31年3月31日),S100G5RZ,2018-04-01,2019-03-31,156200000,3
E00176,18980,世紀東急工業株式会社,有価証券報告書－第70期(平成30年4月1日－平成31年3月31日),S100G3A4,2018-04-01,2019-03-31,122000000,5
E00181,19390,株式会社四電工,有価証券報告書－第68期(平成30年4月1日－平成31年3月31日),S100G3PN,2018-04-01,2019-03-31,178000000,10
E00182,19920,神田通信機株式会社,有価証券報告書－第82期(平成30年4月1日－平成31年3月31日),S100G4YO,2018-04-01,2019-03-31,60923000,4
E00183,19790,株式会社大気社,有価証券報告書－第74期(平成30年4月1日－平成31年3月31日),S100GBOR,2018-04-01,2019-03-31,470000000,9
E00185,19380,日本リーテック株式会社,有価証券報告書－第10期(平成30年4月1日－平成31年3月31日),S100G5RV,2018-04-01,2019-03-31,103564000,5
E00187,97670,日建工学株式会社,有価証券報告書－第56期(平成30年4月1日－平成31年3月31日),S100GAK8,2018-04-01,2019-03-31,54333000,6
E00189,19810,株式会社協和日成,有価証券報告書－第71期(平成30年4月1日－平成31年3月31日),S100G8RB,2018-04-01,2019-03-31,195892000,9
E00189,19810,株式会社協和日成,有価証券報告書－第71期(平成30年4月1日－平成31年3月31日),S100G8RB,2018-04-01,2019-03-31,195892000,9
E00194,19800,ダイダン株式会社,有価証券報告書－第90期(平成30年4月1日－平成31年3月31日),S100G55T,2018-04-01,2019-03-31,472000000,8
E00200,19830,東芝プラントシステム株式会社,有価証券報告書－第113期(平成30年4月1日－平成31年3月31日),S100G0N8,2018-04-01,2019-03-31,180000000,10
E00201,18690,名工建設株式会社,有価証券報告書－第78期(平成30年4月1日－平成31年3月31日),S100G927,2018-04-01,2019-03-31,207000000,8
E00207,19300,北陸電気工事株式会社,有価証券報告書－第105期(平成30年4月1日－平成31年3月31日),S100G96K,2018-04-01,2019-03-31,147000000,13
E00209,19660,株式会社　高田工業所,有価証券報告書－第72期(平成30年4月1日－平成31年3月31日),S100G9RG,2018-04-01,2019-03-31,235064000,7
E00210,19730,ＮＥＣネッツエスアイ株式会社,有価証券報告書－第87期(平成30年4月1日－平成31年3月31日),S100G0YV,2018-04-01,2019-03-31,158000000,9
E00218,18780,大東建託株式会社,有価証券報告書－第45期(平成30年4月1日－平成31年3月31日),S100G760,2018-04-01,2019-03-31,1410000000,9
E00221,18790,新日本建設株式会社,有価証券報告書－第55期(平成30年4月1日－平成31年3月31日),S100G99L,2018-04-01,2019-03-31,2648000000,13
E00227,19520,新日本空調株式会社,有価証券報告書－第50期(平成30年4月1日－平成31年3月31日),S100G5E1,2018-04-01,2019-03-31,249000000,8
E00231,19060,株式会社細田工務店,有価証券報告書－第63期(平成30年4月1日－平成31年3月31日),S100GBW7,2018-04-01,2019-03-31,37000000,5
E00238,18480,株式会社富士ピー・エス,有価証券報告書－第67期(平成30年4月1日－平成31年3月31日),S100G4HA,2018-04-01,2019-03-31,123000000,6
E00242,18280,田辺工業株式会社,有価証券報告書－第51期(平成30年4月1日－平成31年3月31日),S100GAHM,2018-04-01,2019-03-31,120025000,4
E00250,17990,第一建設工業株式会社,有価証券報告書－第77期(平成30年4月1日－平成31年3月31日),S100GB5N,2018-04-01,2019-03-31,191946000,7
E00250,17990,第一建設工業株式会社,有価証券報告書－第77期(平成30年4月1日－平成31年3月31日),S100GB5N,2018-04-01,2019-03-31,191946000,7
E00251,17980,株式会社守谷商会,有価証券報告書－第65期(平成30年4月1日－平成31年3月31日),S100G4NX,2018-04-01,2019-03-31,173143000,8
E00255,17930,株式会社大本組,有価証券報告書－第82期(平成30年4月1日－平成31年3月31日),S100GBPA,2018-04-01,2019-03-31,148000000,7
E00255,17930,株式会社大本組,有価証券報告書－第82期(平成30年4月1日－平成31年3月31日),S100GBPA,2018-04-01,2019-03-31,148000000,7
E00260,17870,株式会社ナカボーテック,有価証券報告書－第76期(平成30年4月1日－平成31年3月31日),S100GBHI,2018-04-01,2019-03-31,128441000,6
E00260,17870,株式会社ナカボーテック,有価証券報告書－第76期(平成30年4月1日－平成31年3月31日),S100GBHI,2018-04-01,2019-03-31,128441000,6
E00271,17770,川崎設備工業株式会社,有価証券報告書－第92期(平成30年4月1日－平成31年3月31日),S100GAM6,2018-04-01,2019-03-31,93645000,4
E00272,17760,三井住建道路株式会社,有価証券報告書－第72期(平成30年4月1日－平成31年3月31日),S100G32A,2018-04-01,2019-03-31,68000000,7
E00273,17750,富士古河Ｅ＆Ｃ株式会社,有価証券報告書－第109期(平成30年4月1日－平成31年3月31日),S100G2WL,2018-04-01,2019-03-31,94000000,9
E00277,17700,藤田エンジニアリング株式会社,有価証券報告書－第56期(平成30年4月1日－平成31年3月31日),S100GB07,2018-04-01,2019-03-31,114387000,5
E00279,17680,株式会社ソネック,有価証券報告書－第79期(平成30年4月1日－平成31年3月31日),S100G14B,2018-04-01,2019-03-31,51520000,6
E00285,17620,株式会社髙松コンストラクショングループ,有価証券報告書－第54期(平成30年4月1日－平成31年3月31日),S100G1VB,2018-04-01,2019-03-31,184000000,15
E00288,17570,クレアホールディングス株式会社,有価証券報告書－第55期(平成30年4月1日－平成31年3月31日),S100GBD6,2018-04-01,2019-03-31,26000000,3
E00302,17390,シード平和株式会社,有価証券報告書－第26期(平成30年7月1日－令和1年6月30日),S100GZLQ,2018-07-01,2019-06-30,13200000,6
E00303,17370,三井金属エンジニアリング株式会社,有価証券報告書－第56期(平成30年4月1日－平成31年3月31日),S100G086,2018-04-01,2019-03-31,125001000,11
E00306,17340,株式会社北弘電社,有価証券報告書－第69期(平成30年4月1日－平成31年3月31日),S100G8BW,2018-04-01,2019-03-31,81025000,8
E00309,17280,ミサワホーム中国株式会社,有価証券報告書－第49期(平成30年4月1日－平成31年3月31日),S100G4ZG,2018-04-01,2019-03-31,64707000,4
E00316,17200,東急建設株式会社,有価証券報告書－第16期(平成30年4月1日－平成31年3月31日),S100G8IC,2018-04-01,2019-03-31,212000000,7
E00317,17190,株式会社安藤・間,有価証券報告書－第6期(平成30年4月1日－平成31年3月31日),S100GADI,2018-04-01,2019-03-31,249000000,9
E00318,17220,ミサワホーム株式会社,有価証券報告書－第16期(平成30年4月1日－平成31年3月31日),S100GB0S,2018-04-01,2019-03-31,237000000,7
E00331,22640,森永乳業株式会社,有価証券報告書－第96期(平成30年4月1日－平成31年3月31日),S100G9ZY,2018-04-01,2019-03-31,408000000,9
E00334,22820,日本ハム株式会社,有価証券報告書－第74期(平成30年4月1日－平成31年3月31日),S100G3TD,2018-04-01,2019-03-31,328000000,8
E00335,22810,プリマハム株式会社,有価証券報告書－第72期(平成30年4月1日－平成31年3月31日),S100G7J7,2018-04-01,2019-03-31,269000000,7
E00341,22910,福留ハム株式会社,有価証券報告書－第68期(平成30年4月1日－平成31年3月31日),S100G3OS,2018-04-01,2019-03-31,132000000,7
E00343,22930,滝沢ハム株式会社,有価証券報告書－第69期(平成30年4月1日－平成31年3月31日),S100G7XC,2018-04-01,2019-03-31,98913000,6
E00344,13800,株式会社秋川牧園,有価証券報告書－第40期(平成30年4月1日－平成31年3月31日),S100G56Z,2018-04-01,2019-03-31,31788000,4
E00345,20010,日本製粉株式会社,有価証券報告書－第195期(平成30年4月1日－平成31年3月31日),S100G897,2018-04-01,2019-03-31,258000000,14
E00346,20020,株式会社日清製粉グループ本社,有価証券報告書－第175期(平成30年4月1日－平成31年3月31日),S100G6HI,2018-04-01,2019-03-31,361000000,13
E00354,21070,東洋精糖株式会社,有価証券報告書－第95期(平成30年4月1日－平成31年3月31日),S100G0XV,2018-04-01,2019-03-31,72000000,6
E00355,21080,日本甜菜製糖株式会社,有価証券報告書－第121期(平成30年4月1日－平成31年3月31日),S100G2GQ,2018-04-01,2019-03-31,175000000,13
E00356,21090,三井製糖株式会社,有価証券報告書－第95期(平成30年4月1日－平成31年3月31日),S100G6QS,2018-04-01,2019-03-31,150000000,4
E00360,21140,フジ日本精糖株式会社,有価証券報告書－第96期(平成30年4月1日－平成31年3月31日),S100G0TF,2018-04-01,2019-03-31,70822000,5
E00361,21120,塩水港精糖株式会社,有価証券報告書－第86期(平成30年4月1日－平成31年3月31日),S100G9MR,2018-04-01,2019-03-31,148000000,11
E00369,22010,森永製菓株式会社,有価証券報告書－第171期(平成30年4月1日－平成31年3月31日),S100G9UO,2018-04-01,2019-03-31,341000000,10
E00371,22090,井村屋グループ株式会社,有価証券報告書－第82期(平成30年4月1日－平成31年3月31日),S100G0VZ,2018-04-01,2019-03-31,191314000,8
E00372,22040,株式会社中村屋,有価証券報告書－第98期(平成30年4月1日－平成31年3月31日),S100G9N0,2018-04-01,2019-03-31,95530000,3
E00372,22040,株式会社中村屋,有価証券報告書－第98期(平成30年4月1日－平成31年3月31日),S100G9N0,2018-04-01,2019-03-31,95530000,3
E00373,22060,江崎グリコ株式会社,有価証券報告書－第114期(平成30年4月1日－平成31年3月31日),S100G2JS,2018-04-01,2019-03-31,280000000,4
E00380,22080,株式会社ブルボン,有価証券報告書－第143期(平成30年4月1日－平成31年3月31日),S100GA28,2018-04-01,2019-03-31,169000000,18
E00382,22180,日糧製パン株式会社,有価証券報告書－第85期(平成30年4月1日－平成31年3月31日),S100GCSI,2018-04-01,2019-03-31,79630000,6
E00385,22200,亀田製菓株式会社,有価証券報告書－第62期(平成30年4月1日－平成31年3月31日),S100G34H,2018-04-01,2019-03-31,178000000,4
E00390,33460,２１ＬＡＤＹ株式会社,有価証券報告書－第20期(平成30年4月1日－平成31年3月31日),S100GD8G,2018-04-01,2019-03-31,3050000,2
E00396,25310,宝ホールディングス株式会社,有価証券報告書－第108期(平成30年4月1日－平成31年3月31日),S100G0UU,2018-04-01,2019-03-31,192000000,9
E00400,25400,養命酒製造株式会社,有価証券報告書－第101期(平成30年4月1日－平成31年3月31日),S100G8UA,2018-04-01,2019-03-31,39000000,10
E00400,25400,養命酒製造株式会社,有価証券報告書－第101期(平成30年4月1日－平成31年3月31日),S100G8UA,2018-04-01,2019-03-31,39000000,10
E00406,22670,株式会社ヤクルト本社,有価証券報告書－第67期(平成30年4月1日－平成31年3月31日),S100G2IS,2018-04-01,2019-03-31,612000000,11
E00414,25930,株式会社伊藤園,有価証券報告書－第54期(平成30年5月1日－平成31年4月30日),S100GJJE,2018-05-01,2019-04-30,641000000,13
E00421,25990,ジャパンフーズ株式会社,有価証券報告書－第43期(平成30年4月1日－平成31年3月31日),S100G4IK,2018-04-01,2019-03-31,84240000,3
E00428,26020,日清オイリオグループ株式会社,有価証券報告書－第147期(平成30年4月1日－平成31年3月31日),S100G5RN,2018-04-01,2019-03-31,318000000,8
E00431,26070,不二製油グループ本社株式会社,有価証券報告書－第91期(平成30年4月1日－平成31年3月31日),S100G1U3,2018-04-01,2019-03-31,298000000,8
E00433,26120,かどや製油株式会社,有価証券報告書－第62期(平成30年4月1日－平成31年3月31日),S100G7D0,2018-04-01,2019-03-31,533000000,9
E00434,26130,株式会社Ｊ－オイルミルズ,有価証券報告書－第17期(平成30年4月1日－平成31年3月31日),S100G6LN,2018-04-01,2019-03-31,223000000,6
E00436,28020,味の素株式会社,有価証券報告書－第141期(平成30年4月1日－平成31年3月31日),S100G6V9,2018-04-01,2019-03-31,434000000,6
E00439,20530,中部飼料株式会社,有価証券報告書－第72期(平成30年4月1日－平成31年3月31日),S100G9U2,2018-04-01,2019-03-31,196000000,7
E00443,22860,林兼産業株式会社,有価証券報告書－第80期(平成30年4月1日－平成31年3月31日),S100G8DD,2018-04-01,2019-03-31,100000000,7
E00446,28710,株式会社ニチレイ,有価証券報告書－第101期(平成30年4月1日－平成31年3月31日),S100G41Y,2018-04-01,2019-03-31,187000000,8
E00448,42290,群栄化学工業株式会社,有価証券報告書－第102期(平成30年4月1日－平成31年3月31日),S100FZJC,2018-04-01,2019-03-31,175000000,4
E00452,28050,ヱスビー食品株式会社,有価証券報告書－第106期(平成30年4月1日－平成31年3月31日),S100G5QQ,2018-04-01,2019-03-31,214000000,8
E00453,28940,石井食品株式会社,有価証券報告書－第78期(平成30年4月1日－平成31年3月31日),S100G4FO,2018-04-01,2019-03-31,47124000,6
E00454,20550,日和産業株式会社,有価証券報告書－第115期(平成30年4月1日－平成31年3月31日),S100GAVI,2018-04-01,2019-03-31,109000000,7
E00456,80060,ユアサ・フナショク株式会社,有価証券報告書－第48期(平成30年4月1日－平成31年3月31日),S100GC3Y,2018-04-01,2019-03-31,126000000,8
E00457,28970,日清食品ホールディングス株式会社,有価証券報告書－第71期(平成30年4月1日－平成31年3月31日),S100G7AX,2018-04-01,2019-03-31,560000000,3
E00458,22880,丸大食品株式会社,有価証券報告書－第71期(平成30年4月1日－平成31年3月31日),S100GCT2,2018-04-01,2019-03-31,160000000,8
E00461,28750,東洋水産株式会社,有価証券報告書－第71期(平成30年4月1日－平成31年3月31日),S100G8X1,2018-04-01,2019-03-31,295000000,15
E00462,28100,ハウス食品グループ本社株式会社,有価証券報告書－第73期(平成30年4月1日－平成31年3月31日),S100G2GI,2018-04-01,2019-03-31,291000000,9
E00465,28060,ユタカフーズ株式会社,有価証券報告書－第79期(平成30年4月1日－平成31年3月31日),S100G55G,2018-04-01,2019-03-31,43000000,5
E00465,28060,ユタカフーズ株式会社,有価証券報告書－第79期(平成30年4月1日－平成31年3月31日),S100G55G,2018-04-01,2019-03-31,43000000,5
E00469,28990,株式会社永谷園ホールディングス,有価証券報告書－第66期(平成30年4月1日－平成31年3月31日),S100GBY9,2018-04-01,2019-03-31,332000000,8
E00472,29020,太陽化学株式会社,有価証券報告書－第102期(平成30年4月1日－平成31年3月31日),S100FZEJ,2018-04-01,2019-03-31,163395000,7
E00477,29050,オーケー食品工業株式会社,有価証券報告書－第52期(平成30年4月1日－平成31年3月31日),S100G9OC,2018-04-01,2019-03-31,70812000,9
E00478,28130,和弘食品株式会社,有価証券報告書－第56期(平成30年4月1日－平成31年3月31日),S100G29G,2018-04-01,2019-03-31,51124000,3
E00484,28140,佐藤食品工業株式会社,有価証券報告書－第65期(平成30年4月1日－平成31年3月31日),S100G80K,2018-04-01,2019-03-31,100163000,6
E00484,28140,佐藤食品工業株式会社,有価証券報告書－第65期(平成30年4月1日－平成31年3月31日),S100G80K,2018-04-01,2019-03-31,100163000,6
E00487,29110,旭松食品株式会社,有価証券報告書－第69期(平成30年4月1日－平成31年3月31日),S100G57K,2018-04-01,2019-03-31,49200000,3
E00488,28760,株式会社ジェーシー・コムサ,有価証券報告書－第55期(平成30年4月1日－平成31年3月31日),S100G74C,2018-04-01,2019-03-31,200856000,5
E00488,28760,株式会社ジェーシー・コムサ,有価証券報告書－第55期(平成30年4月1日－平成31年3月31日),S100G74C,2018-04-01,2019-03-31,200856000,5
E00493,29150,ケンコーマヨネーズ株式会社,有価証券報告書－第62期(平成30年4月1日－平成31年3月31日),S100G9NV,2018-04-01,2019-03-31,213000000,6
E00494,29160,仙波糖化工業株式会社,有価証券報告書－第72期(平成30年4月1日－平成31年3月31日),S100GC2Q,2018-04-01,2019-03-31,113972000,7
E00497,29190,株式会社　マルタイ,有価証券報告書－第56期(平成30年4月1日－平成31年3月31日),S100G43A,2018-04-01,2019-03-31,83906000,5
E00498,28770,日東ベスト株式会社,有価証券報告書－第81期(平成30年4月1日－平成31年3月31日),S100G822,2018-04-01,2019-03-31,230000000,17
E00501,28160,株式会社ダイショー,有価証券報告書－第53期(平成30年4月1日－平成31年3月31日),S100G97J,2018-04-01,2019-03-31,266000000,9
E00501,28160,株式会社ダイショー,有価証券報告書－第53期(平成30年4月1日－平成31年3月31日),S100G97J,2018-04-01,2019-03-31,266000000,9
E00506,29220,株式会社なとり,有価証券報告書－第71期(平成30年4月1日－平成31年3月31日),S100GBTJ,2018-04-01,2019-03-31,192000000,8
E00508,28310,はごろもフーズ株式会社,有価証券報告書－第90期(平成30年4月1日－平成31年3月31日),S100G8ST,2018-04-01,2019-03-31,349965000,11
E00510,29230,佐藤食品工業株式会社,有価証券報告書－第59期(平成30年5月1日－平成31年4月30日),S100GIQV,2018-05-01,2019-04-30,224000000,8
